instance,lefthand,righthand,trunk
0,CarryingWhileLocomoting,CarryingWhileLocomoting,StandingStill
1,CarryingWhileLocomoting,CarryingWhileLocomoting,StandingStill
2,CarryingWhileLocomoting,CarryingWhileLocomoting,StandingStill
3,CarryingWhileLocomoting,CarryingWhileLocomoting,StandingStill
4,CarryingWhileLocomoting,CarryingWhileLocomoting,StandingStill
5,CarryingWhileLocomoting,CarryingWhileLocomoting,StandingStill
6,CarryingWhileLocomoting,CarryingWhileLocomoting,StandingStill
7,CarryingWhileLocomoting,CarryingWhileLocomoting,StandingStill
8,CarryingWhileLocomoting,CarryingWhileLocomoting,StandingStill
9,CarryingWhileLocomoting,CarryingWhileLocomoting,StandingStill
10,CarryingWhileLocomoting,CarryingWhileLocomoting,StandingStill
11,CarryingWhileLocomoting,CarryingWhileLocomoting,HumanWalkingProcess
12,CarryingWhileLocomoting,CarryingWhileLocomoting,HumanWalkingProcess
13,CarryingWhileLocomoting,CarryingWhileLocomoting,HumanWalkingProcess
14,CarryingWhileLocomoting,Reaching,HumanWalkingProcess
15,CarryingWhileLocomoting,Reaching,HumanWalkingProcess
16,CarryingWhileLocomoting,Reaching,HumanWalkingProcess
17,CarryingWhileLocomoting,Reaching,HumanWalkingProcess
18,CarryingWhileLocomoting,Reaching,HumanWalkingProcess
19,CarryingWhileLocomoting,Reaching,HumanWalkingProcess
20,CarryingWhileLocomoting,Reaching,HumanWalkingProcess
21,CarryingWhileLocomoting,Reaching,HumanWalkingProcess
22,CarryingWhileLocomoting,Reaching,HumanWalkingProcess
23,CarryingWhileLocomoting,Reaching,HumanWalkingProcess
24,CarryingWhileLocomoting,Reaching,HumanWalkingProcess
25,CarryingWhileLocomoting,Reaching,HumanWalkingProcess
26,CarryingWhileLocomoting,Reaching,HumanWalkingProcess
27,Reaching,Reaching,HumanWalkingProcess
28,Reaching,Reaching,HumanWalkingProcess
29,Reaching,Reaching,HumanWalkingProcess
30,Reaching,Reaching,HumanWalkingProcess
31,Reaching,Reaching,HumanWalkingProcess
32,Reaching,Reaching,HumanWalkingProcess
33,Reaching,Reaching,HumanWalkingProcess
34,Reaching,Reaching,HumanWalkingProcess
35,Reaching,Reaching,HumanWalkingProcess
36,Reaching,Reaching,HumanWalkingProcess
37,Reaching,Reaching,HumanWalkingProcess
38,Reaching,Reaching,HumanWalkingProcess
39,Reaching,Reaching,HumanWalkingProcess
40,Reaching,Reaching,HumanWalkingProcess
41,Reaching,TakingSomething,HumanWalkingProcess
42,Reaching,TakingSomething,StandingStill
43,Reaching,TakingSomething,StandingStill
44,Reaching,TakingSomething,StandingStill
45,Reaching,TakingSomething,StandingStill
46,Reaching,TakingSomething,StandingStill
47,TakingSomething,TakingSomething,StandingStill
48,TakingSomething,TakingSomething,StandingStill
49,TakingSomething,TakingSomething,StandingStill
50,TakingSomething,TakingSomething,StandingStill
51,TakingSomething,TakingSomething,StandingStill
52,TakingSomething,TakingSomething,StandingStill
53,TakingSomething,TakingSomething,StandingStill
54,TakingSomething,TakingSomething,StandingStill
55,TakingSomething,TakingSomething,StandingStill
56,TakingSomething,TakingSomething,StandingStill
57,TakingSomething,TakingSomething,StandingStill
58,TakingSomething,TakingSomething,StandingStill
59,TakingSomething,TakingSomething,HumanWalkingProcess
60,TakingSomething,TakingSomething,HumanWalkingProcess
61,TakingSomething,TakingSomething,HumanWalkingProcess
62,TakingSomething,TakingSomething,HumanWalkingProcess
63,TakingSomething,CarryingWhileLocomoting,HumanWalkingProcess
64,TakingSomething,CarryingWhileLocomoting,HumanWalkingProcess
65,TakingSomething,CarryingWhileLocomoting,HumanWalkingProcess
66,TakingSomething,CarryingWhileLocomoting,HumanWalkingProcess
67,CarryingWhileLocomoting,CarryingWhileLocomoting,HumanWalkingProcess
68,CarryingWhileLocomoting,CarryingWhileLocomoting,HumanWalkingProcess
69,CarryingWhileLocomoting,CarryingWhileLocomoting,HumanWalkingProcess
70,CarryingWhileLocomoting,CarryingWhileLocomoting,HumanWalkingProcess
71,CarryingWhileLocomoting,CarryingWhileLocomoting,HumanWalkingProcess
72,CarryingWhileLocomoting,CarryingWhileLocomoting,HumanWalkingProcess
73,CarryingWhileLocomoting,CarryingWhileLocomoting,HumanWalkingProcess
74,CarryingWhileLocomoting,CarryingWhileLocomoting,HumanWalkingProcess
75,CarryingWhileLocomoting,CarryingWhileLocomoting,HumanWalkingProcess
76,CarryingWhileLocomoting,CarryingWhileLocomoting,HumanWalkingProcess
77,CarryingWhileLocomoting,CarryingWhileLocomoting,HumanWalkingProcess
78,CarryingWhileLocomoting,CarryingWhileLocomoting,HumanWalkingProcess
79,CarryingWhileLocomoting,CarryingWhileLocomoting,HumanWalkingProcess
80,CarryingWhileLocomoting,CarryingWhileLocomoting,HumanWalkingProcess
81,CarryingWhileLocomoting,CarryingWhileLocomoting,HumanWalkingProcess
82,CarryingWhileLocomoting,CarryingWhileLocomoting,HumanWalkingProcess
83,CarryingWhileLocomoting,CarryingWhileLocomoting,HumanWalkingProcess
84,CarryingWhileLocomoting,CarryingWhileLocomoting,HumanWalkingProcess
85,CarryingWhileLocomoting,CarryingWhileLocomoting,HumanWalkingProcess
86,CarryingWhileLocomoting,CarryingWhileLocomoting,HumanWalkingProcess
87,CarryingWhileLocomoting,CarryingWhileLocomoting,HumanWalkingProcess
88,CarryingWhileLocomoting,CarryingWhileLocomoting,HumanWalkingProcess
89,CarryingWhileLocomoting,CarryingWhileLocomoting,HumanWalkingProcess
